sgRNA	Target_gene	FLAG(strand)	Chr	Start	End	Match
sgCFAP74_3	CFAP74	16	chr1	1963828	1963848	TRUE
sgCFAP74_1	CFAP74	16	chr1	1988543	1988563	TRUE
sgC1orf222_4	C1orf222	16	chr1	1990892	1990912	TRUE
sgC1orf222_3	C1orf222	0	chr1	1990911	1990931	TRUE
sgC1orf222_2	C1orf222	16	chr1	1990917	1990937	TRUE
sgC1orf222_1	C1orf222	16	chr1	1990929	1990949	TRUE
sgGABRD_2	GABRD	0	chr1	2024937	2024957	TRUE
sgGABRD_1	GABRD	0	chr1	2025371	2025391	TRUE
sgGABRD_4	GABRD	0	chr1	2028150	2028170	TRUE
sgGABRD_3	GABRD	16	chr1	2029252	2029272	TRUE
sgPRKCZ_2	PRKCZ	0	chr1	2135258	2135278	TRUE
sgPRKCZ_1	PRKCZ	0	chr1	2148903	2148923	TRUE
sgPRKCZ_4	PRKCZ	0	chr1	2156071	2156091	TRUE
sgPRKCZ_3	PRKCZ	0	chr1	2172043	2172063	TRUE
sgFAAP20_1	FAAP20	0	chr1	2184530	2184550	TRUE
sgFAAP20_2	FAAP20	16	chr1	2185070	2185090	TRUE
sgFAAP20_3	FAAP20	0	chr1	2185198	2185218	TRUE
sgFAAP20_4	FAAP20	0	chr1	2185249	2185269	TRUE
sgC1orf86_2	C1orf86	0	chr1	2193799	2193819	TRUE
sgC1orf86_1	C1orf86	0	chr1	2193867	2193887	TRUE
sgC1orf86_3	C1orf86	16	chr1	2194030	2194050	TRUE
sgC1orf86_4	C1orf86	0	chr1	2194095	2194115	TRUE
sgSKI_4	SKI	0	chr1	2229322	2229342	TRUE
sgSKI_1	SKI	0	chr1	2229434	2229454	TRUE
sgSKI_3	SKI	0	chr1	2229630	2229650	TRUE
sgSKI_2	SKI	0	chr1	2303852	2303872	TRUE
sgMORN1_4	MORN1	0	chr1	2358576	2358596	TRUE
sgMORN1_1	MORN1	16	chr1	2372581	2372601	TRUE
sgMORN1_2	MORN1	0	chr1	2384966	2384986	TRUE
sgMORN1_3	MORN1	16	chr1	2387460	2387480	TRUE
sgRER1_3	RER1	0	chr1	2395820	2395840	TRUE
sgRER1_1	RER1	16	chr1	2397149	2397169	TRUE
sgRER1_2	RER1	16	chr1	2399434	2399454	TRUE
sgRER1_4	RER1	0	chr1	2400870	2400890	TRUE
sgPEX10_2	PEX10	0	chr1	2408511	2408531	TRUE
sgPEX10_4	PEX10	16	chr1	2408806	2408826	TRUE
sgPEX10_3	PEX10	0	chr1	2410360	2410380	TRUE
sgPEX10_1	PEX10	16	chr1	2412434	2412454	TRUE
sgPLCH2_2	PLCH2	0	chr1	2480186	2480206	TRUE
sgPLCH2_1	PLCH2	0	chr1	2489357	2489377	TRUE
sgPLCH2_3	PLCH2	16	chr1	2494921	2494941	TRUE
sgPLCH2_4	PLCH2	16	chr1	2496896	2496916	TRUE
sgPANK4_2	PANK4	0	chr1	2515625	2515645	TRUE
sgPANK4_4	PANK4	16	chr1	2519198	2519218	TRUE
sgPANK4_1	PANK4	0	chr1	2520810	2520830	TRUE
sgPANK4_3	PANK4	16	chr1	2521725	2521745	TRUE
sgHES5_1	HES5	16	chr1	2529691	2529711	TRUE
sgHES5_2	HES5	16	chr1	2529848	2529868	TRUE
sgHES5_4	HES5	16	chr1	2529922	2529942	TRUE
sgHES5_3	HES5	0	chr1	2529980	2530000	TRUE
sgTNFRSF14_1	TNFRSF14	0	chr1	2557783	2557803	TRUE
sgTNFRSF14_3	TNFRSF14	0	chr1	2558335	2558355	TRUE
sgTNFRSF14_2	TNFRSF14	0	chr1	2558447	2558467	TRUE
sgTNFRSF14_4	TNFRSF14	16	chr1	2560661	2560681	TRUE
sgFAM213B_2	FAM213B	0	chr1	2586892	2586912	TRUE
sgFAM213B_3	FAM213B	0	chr1	2587111	2587131	TRUE
sgFAM213B_4	FAM213B	16	chr1	2587171	2587191	TRUE
sgFAM213B_1	FAM213B	0	chr1	2587771	2587791	TRUE
sgMMEL1_1	MMEL1	16	chr1	2598209	2598229	TRUE
sgMMEL1_3	MMEL1	16	chr1	2605574	2605594	TRUE
sgMMEL1_4	MMEL1	16	chr1	2609688	2609708	TRUE
sgMMEL1_2	MMEL1	16	chr1	2609799	2609819	TRUE
sgTTC34_1	TTC34	16	chr1	2645342	2645362	TRUE
sgTTC34_2	TTC34	0	chr1	2785859	2785879	TRUE
sgTTC34_4	TTC34	16	chr1	2787559	2787579	TRUE
sgTTC34_3	TTC34	16	chr1	2787698	2787718	TRUE
sgACTRT2_3	ACTRT2	16	chr1	3021799	3021819	TRUE
sgACTRT2_4	ACTRT2	16	chr1	3021907	3021927	TRUE
sgACTRT2_2	ACTRT2	0	chr1	3022082	3022102	TRUE
sgACTRT2_1	ACTRT2	0	chr1	3022217	3022237	TRUE
sgPRDM16_4	PRDM16	0	chr1	3385214	3385234	TRUE
sgPRDM16_2	PRDM16	0	chr1	3404833	3404853	TRUE
sgPRDM16_3	PRDM16	16	chr1	3411457	3411477	TRUE
sgPRDM16_1	PRDM16	0	chr1	3412011	3412031	TRUE
sgARHGEF16_4	ARHGEF16	0	chr1	3463531	3463551	TRUE
sgARHGEF16_1	ARHGEF16	0	chr1	3466149	3466169	TRUE
sgARHGEF16_3	ARHGEF16	0	chr1	3467268	3467288	TRUE
sgARHGEF16_2	ARHGEF16	0	chr1	3469435	3469455	TRUE
sgMEGF6_4	MEGF6	0	chr1	3507807	3507827	TRUE
sgMEGF6_2	MEGF6	16	chr1	3509881	3509901	TRUE
sgMEGF6_3	MEGF6	0	chr1	3511570	3511590	TRUE
sgMEGF6_1	MEGF6	0	chr1	3579818	3579838	TRUE
sgTPRG1L_3	TPRG1L	0	chr1	3625102	3625122	TRUE
sgTPRG1L_1	TPRG1L	16	chr1	3625248	3625268	TRUE
sgTPRG1L_2	TPRG1L	0	chr1	3625716	3625736	TRUE
sgTPRG1L_4	TPRG1L	16	chr1	3625853	3625873	TRUE
sgWRAP73_2	WRAP73	16	chr1	3635235	3635255	TRUE
sgWRAP73_3	WRAP73	0	chr1	3635965	3635985	TRUE
sgWRAP73_4	WRAP73	16	chr1	3646739	3646759	TRUE
sgWRAP73_1	WRAP73	0	chr1	3647534	3647554	TRUE
sgTP73_4	TP73	0	chr1	3683120	3683140	TRUE
sgTP73_3	TP73	16	chr1	3707740	3707760	TRUE
sgTP73_2	TP73	0	chr1	3722122	3722142	TRUE
sgTP73_1	TP73	16	chr1	3723385	3723405	TRUE
sgCCDC27_3	CCDC27	0	chr1	3754108	3754128	TRUE
sgCCDC27_4	CCDC27	0	chr1	3756760	3756780	TRUE
sgCCDC27_1	CCDC27	0	chr1	3761307	3761327	TRUE
sgCCDC27_2	CCDC27	0	chr1	3763095	3763115	TRUE
sgSMIM1_2	SMIM1	0	chr1	3775391	3775411	TRUE
sgSMIM1_4	SMIM1	0	chr1	3775406	3775426	TRUE
sgSMIM1_1	SMIM1	0	chr1	3775424	3775444	TRUE
sgSMIM1_3	SMIM1	0	chr1	3775785	3775805	TRUE
sgLRRC47_4	LRRC47	0	chr1	3785129	3785149	TRUE
sgLRRC47_3	LRRC47	16	chr1	3786914	3786934	TRUE
sgLRRC47_2	LRRC47	16	chr1	3787227	3787247	TRUE
sgLRRC47_1	LRRC47	0	chr1	3796156	3796176	TRUE
sgCEP104_1	CEP104	0	chr1	3833870	3833890	TRUE
sgCEP104_2	CEP104	16	chr1	3835056	3835076	TRUE
sgCEP104_3	CEP104	16	chr1	3836635	3836655	TRUE
sgCEP104_4	CEP104	16	chr1	3848625	3848645	TRUE
sgDFFB_2	DFFB	16	chr1	3858786	3858806	TRUE
sgDFFB_4	DFFB	16	chr1	3865837	3865857	TRUE
sgDFFB_1	DFFB	16	chr1	3865988	3866008	TRUE
sgDFFB_3	DFFB	0	chr1	3869683	3869703	TRUE
sgC1orf174_4	C1orf174	16	chr1	3890777	3890797	TRUE
sgC1orf174_3	C1orf174	0	chr1	3890807	3890827	TRUE
sgC1orf174_1	C1orf174	0	chr1	3890940	3890960	TRUE
sgC1orf174_2	C1orf174	16	chr1	3890999	3891019	TRUE
sgAJAP1_1	AJAP1	0	chr1	4711957	4711977	TRUE
sgAJAP1_3	AJAP1	16	chr1	4712054	4712074	TRUE
sgAJAP1_2	AJAP1	0	chr1	4712553	4712573	TRUE
sgAJAP1_4	AJAP1	16	chr1	4772289	4772309	TRUE
Neg_Control_Human_GA_0461	NegCtrl	16	chr1	5631877	5631897	FALSE
sgNPHP4_3	NPHP4	0	chr1	5887272	5887292	TRUE
sgNPHP4_4	NPHP4	16	chr1	5905353	5905373	TRUE
sgNPHP4_1	NPHP4	0	chr1	5948182	5948202	TRUE
sgNPHP4_2	NPHP4	0	chr1	5969211	5969231	TRUE
sgKCNAB2_2	KCNAB2	16	chr1	6041828	6041848	TRUE
sgKCNAB2_3	KCNAB2	16	chr1	6082217	6082237	TRUE
sgKCNAB2_4	KCNAB2	0	chr1	6089030	6089050	TRUE
sgKCNAB2_1	KCNAB2	16	chr1	6095388	6095408	TRUE
sgCHD5_2	CHD5	0	chr1	6128997	6129017	TRUE
sgCHD5_4	CHD5	16	chr1	6142221	6142241	TRUE
sgCHD5_1	CHD5	0	chr1	6146338	6146358	TRUE
sgCHD5_3	CHD5	0	chr1	6149294	6149314	TRUE
sgRPL22_1	RPL22	16	chr1	6197737	6197757	TRUE
sgRNF207_4	RNF207	16	chr1	6206719	6206739	TRUE
sgRNF207_3	RNF207	0	chr1	6208964	6208984	TRUE
sgRNF207_2	RNF207	0	chr1	6209268	6209288	TRUE
sgRNF207_1	RNF207	16	chr1	6211035	6211055	TRUE
sgICMT_2	ICMT	0	chr1	6232022	6232042	TRUE
sgICMT_4	ICMT	0	chr1	6233519	6233539	TRUE
sgICMT_1	ICMT	0	chr1	6233610	6233630	TRUE
sgICMT_3	ICMT	0	chr1	6234944	6234964	TRUE
sgHES3_2	HES3	0	chr1	6244425	6244445	TRUE
sgHES3_1	HES3	0	chr1	6244608	6244628	TRUE
sgHES3_4	HES3	0	chr1	6245172	6245192	TRUE
sgHES3_3	HES3	16	chr1	6245290	6245310	TRUE
sgGPR153_2	GPR153	16	chr1	6249992	6250012	TRUE
sgGPR153_1	GPR153	16	chr1	6251340	6251360	TRUE
sgGPR153_4	GPR153	0	chr1	6253799	6253819	TRUE
sgGPR153_3	GPR153	16	chr1	6254737	6254757	TRUE
sgACOT7_4	ACOT7	16	chr1	6327404	6327424	TRUE
sgACOT7_1	ACOT7	0	chr1	6333522	6333542	TRUE
sgACOT7_3	ACOT7	0	chr1	6339550	6339570	TRUE
sgACOT7_2	ACOT7	16	chr1	6349841	6349861	TRUE
sgHES2_4	HES2	0	chr1	6419061	6419081	TRUE
sgHES2_3	HES2	16	chr1	6419132	6419152	TRUE
sgHES2_2	HES2	16	chr1	6419316	6419336	TRUE
sgHES2_1	HES2	16	chr1	6419637	6419657	TRUE
sgESPN_4	ESPN	16	chr1	6428392	6428412	TRUE
sgESPN_2	ESPN	16	chr1	6440678	6440698	TRUE
sgESPN_1	ESPN	0	chr1	6444549	6444569	TRUE
sgESPN_3	ESPN	16	chr1	6445735	6445755	TRUE
sgTNFRSF25_4	TNFRSF25	0	chr1	6462853	6462873	TRUE
sgTNFRSF25_2	TNFRSF25	0	chr1	6464358	6464378	TRUE
sgTNFRSF25_1	TNFRSF25	16	chr1	6464582	6464602	TRUE
sgTNFRSF25_3	TNFRSF25	0	chr1	6465112	6465132	TRUE
sgPLEKHG5_3	PLEKHG5	16	chr1	6470541	6470561	TRUE
sgPLEKHG5_1	PLEKHG5	0	chr1	6473421	6473441	TRUE
sgPLEKHG5_4	PLEKHG5	0	chr1	6474464	6474484	TRUE
sgPLEKHG5_2	PLEKHG5	16	chr1	6475129	6475149	TRUE
sgNOL9_2	NOL9	0	chr1	6532639	6532659	TRUE
sgNOL9_3	NOL9	0	chr1	6541901	6541921	TRUE
sgNOL9_1	NOL9	0	chr1	6549578	6549598	TRUE
sgNOL9_4	NOL9	0	chr1	6550549	6550569	TRUE
sgTAS1R1_4	TAS1R1	0	chr1	6574621	6574641	TRUE
sgTAS1R1_1	TAS1R1	0	chr1	6574818	6574838	TRUE
sgTAS1R1_3	TAS1R1	16	chr1	6574974	6574994	TRUE
sgTAS1R1_2	TAS1R1	0	chr1	6575299	6575319	TRUE
sgZBTB48_2	ZBTB48	0	chr1	6580948	6580968	TRUE
sgZBTB48_3	ZBTB48	16	chr1	6586021	6586041	TRUE
sgZBTB48_1	ZBTB48	16	chr1	6587546	6587566	TRUE
sgKLHL21_2	KLHL21	16	chr1	6599391	6599411	TRUE
sgKLHL21_1	KLHL21	16	chr1	6601879	6601899	TRUE
sgKLHL21_3	KLHL21	0	chr1	6602072	6602092	TRUE
sgKLHL21_4	KLHL21	0	chr1	6602505	6602525	TRUE
sgPHF13_1	PHF13	0	chr1	6616758	6616778	TRUE
sgPHF13_3	PHF13	0	chr1	6620032	6620052	TRUE
sgPHF13_4	PHF13	0	chr1	6620087	6620107	TRUE
sgPHF13_2	PHF13	16	chr1	6620191	6620211	TRUE
sgTHAP3_3	THAP3	16	chr1	6625286	6625306	TRUE
sgTHAP3_1	THAP3	0	chr1	6628527	6628547	TRUE
sgTHAP3_2	THAP3	16	chr1	6628634	6628654	TRUE
sgTHAP3_4	THAP3	16	chr1	6628663	6628683	TRUE
sgDNAJC11_2	DNAJC11	16	chr1	6645884	6645904	TRUE
sgDNAJC11_1	DNAJC11	0	chr1	6653992	6654012	TRUE
sgDNAJC11_4	DNAJC11	16	chr1	6654026	6654046	TRUE
sgDNAJC11_3	DNAJC11	16	chr1	6678447	6678467	TRUE
sgCAMTA1_3	CAMTA1	16	chr1	7467827	7467847	TRUE
